Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Dorchester,2.0,2.0,4.0,4.0,,,1.0,1.0,6.0,6.0,1.0,1.0,6.0,6.0,32.0,30.0,17.0,16.0,20.0,19.0,46.0,43.0,4.0,4.0,4.0,4.0,,,6.0,6.0,5.0,5.0,9.0,9.0,6.0,6.0,2.0,2.0
Dorchester Center,,,,,3.0,3.0,8.0,8.0,10.0,10.0,1.0,1.0,8.0,8.0,11.0,11.0,15.0,14.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,6.0,6.0,1.0,1.0,2.0,2.0,7.0,7.0,7.0,7.0,1.0,1.0
Douglas,,,,,,,,,,,,,11.0,1.0,,,11.0,1.0,,,,,11.0,1.0,,,,,11.0,1.0,,,,,,,,
Dover,,,17.0,1.0,,,,,,,,,,,,,,,17.0,1.0,,,,,,,,,,,,,,,,,,
Dracut,,,,,3.0,1.0,6.0,2.0,,,6.0,2.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
Dudley,,,8.0,1.0,,,,,8.0,1.0,17.0,2.0,,,8.0,1.0,8.0,1.0,,,,,17.0,2.0,8.0,1.0,17.0,2.0,,,,,,,,,,
Dunstable,,,,,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duxbury,,,,,,,,,,,,,6.0,1.0,,,,,,,,,26.0,4.0,,,6.0,1.0,,,,,,,,,,
E. Boston,,,4.0,2.0,,,,,4.0,2.0,,,4.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,7.0,3.0,,,,,,
East Boston,,,,,,,,,12.0,5.0,2.0,1.0,7.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,,,2.0,1.0,7.0,3.0,,,2.0,1.0,12.0,5.0,,,7.0,3.0,2.0,1.0
East Bridgewater,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,7.0,1.0,,,,,,,14.0,2.0,,,7.0,1.0
East Falmouth,17.0,1.0,17.0,1.0,,,17.0,1.0,,,69.0,4.0,17.0,1.0,17.0,1.0,17.0,1.0,17.0,1.0,,,,,51.0,3.0,17.0,1.0,86.0,5.0,,,,,69.0,4.0,34.0,2.0
East Freetown,,,,,,,,,,,,,,,,,,,20.0,1.0,,,,,,,,,,,,,,,,,,
East Longmeadow,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,12.0,2.0,,,,,,,,,,,,,,,,,,
East Sandwich,,,,,28.0,1.0,28.0,1.0,,,,,28.0,1.0,,,,,,,,,,,28.0,1.0,,,,,,,,,,,,
East Taunton,,,,,,,,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,
East Wareham,,,,,,,,,,,,,4.0,1.0,,,4.0,1.0,27.0,6.0,,,,,4.0,1.0,4.0,1.0,13.0,3.0,4.0,1.0,,,4.0,1.0,9.0,2.0
East Weymouth,,,,,,,,,1.0,1.0,,,,,1.0,1.0,11.0,6.0,1.0,1.0,11.0,6.0,,,,,,,,,,,1.0,1.0,,,,
Eastham,,,20.0,1.0,,,,,,,,,,,,,,,20.0,1.0,20.0,1.0,40.0,2.0,,,,,,,,,,,,,,
Easthampton,,,,,,,12.0,2.0,18.0,3.0,,,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,
Easton,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgartown,,,,,24.0,1.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,2.0,1.0,7.0,3.0,9.0,4.0,2.0,1.0,21.0,9.0,2.0,1.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,,,2.0,1.0,4.0,2.0,9.0,4.0
Fairhaven,,,6.0,1.0,12.0,2.0,,,,,,,,,12.0,2.0,6.0,1.0,,,,,,,12.0,2.0,6.0,1.0,,,,,,,,,,
Fall River,,,2.0,2.0,28.0,25.0,48.0,43.0,30.0,27.0,28.0,25.0,52.0,47.0,84.0,75.0,22.0,20.0,54.0,48.0,19.0,17.0,31.0,28.0,19.0,17.0,21.0,19.0,10.0,9.0,5.0,5.0,10.0,9.0,24.0,22.0,21.0,19.0
Falmouth,,,,,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0,,,3.0,1.0,3.0,1.0,6.0,2.0,3.0,1.0,,,3.0,1.0,,,,,,,,
Feeding Hills,,,,,,,,,,,,,8.0,1.0,,,42.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,
Fiskdale,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1.0,,,,,,,,,,,,
Fitchburg,,,,,2.0,1.0,44.0,18.0,14.0,6.0,14.0,6.0,44.0,18.0,44.0,18.0,37.0,15.0,34.0,14.0,19.0,8.0,34.0,14.0,12.0,5.0,24.0,10.0,7.0,3.0,7.0,3.0,37.0,15.0,2.0,1.0,17.0,7.0
Forestdale,,,,,,,,,,,,,22.0,1.0,22.0,1.0,,,,,22.0,1.0,,,,,,,22.0,1.0,,,,,,,,
Foxborough,,,5.0,1.0,,,,,11.0,2.0,,,5.0,1.0,11.0,2.0,29.0,5.0,,,,,,,,,,,,,,,5.0,1.0,,,17.0,3.0
Framingham,,,,,2.0,2.0,2.0,2.0,11.0,8.0,5.0,4.0,55.0,38.0,30.0,21.0,32.0,22.0,39.0,27.0,21.0,15.0,8.0,6.0,24.0,17.0,29.0,20.0,17.0,12.0,2.0,2.0,55.0,38.0,2.0,2.0,10.0,7.0
